Palo Pinto County,(Parker County-30);
Potter County,(Randall County-30);
Shackelford County,(Stephens County-30);
Coleman County,(Runnels County-31);
Edwards County,(Real County-31);(Val Verde County-52);
Harris County,(Montgomery County-31);
Kenedy County,(Willacy County-31);(Kleberg County-34);
Loving County,(Winkler County-31);(Reeves County-37);
Reagan County,(Upton County-31);
Brazoria County,(Fort Bend County-32);
Fort Bend County,(Harris County-32);
Irion County,(Reagan County-32);(Tom Green County-32);
McCulloch County,(San Saba County-32);
Atascosa County,(Wilson County-33);
Calhoun County,(Victoria County-33);
Frio County,(Medina County-33);
Jim Wells County,(Kleberg County-33);
Kerr County,(Real County-33);
La Salle County,(McMullen County-33);(Webb County-42);
Real County,(Uvalde County-33);
Uvalde County,(Zavala County-34);
Maverick County,(Zavala County-35);
Matagorda County,(Wharton County-36);
Hidalgo County,(Starr County-37);
Kinney County,(Uvalde County-40);
Crockett County,(Reagan County-45);(Terrell County-52);
Jeff Davis County,(Presidio County-49);(Reeves County-49);
Culberson County,(Reeves County-50);(Hudspeth County-52);
El Paso County,(Hudspeth County-55);
Brewster County,(Presidio County-61);
